id,district,police_station,crime_category,crime_subcategory,reported_cases,severity,year,month,source,source_url,data_precision,is_synthetic
2200,West,West Central PS,Stalking,Sec 354D IPC,12,6,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2201,Central,Central Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,6,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2202,East,East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,18,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2203,New Delhi,New Delhi Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,4,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2204,North,North Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,8,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2205,North East,North East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,18,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2206,North West,North West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,38,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2207,Shahdara,Shahdara Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,13,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2208,South,South Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,26,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2209,South East,South East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,21,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2210,South West,South West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2211,West,West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,20,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2212,Central,Central Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2213,East,East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2214,New Delhi,New Delhi Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2215,North,North Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2216,North East,North East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2217,North West,North West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2218,Shahdara,Shahdara Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2219,South,South Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2220,South East,South East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2221,South West,South West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2222,West,West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2223,Central,Central Central PS,Voyeurism,Sec 354C IPC,4,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2224,East,East Central PS,Voyeurism,Sec 354C IPC,10,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2225,New Delhi,New Delhi Central PS,Voyeurism,Sec 354C IPC,2,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2226,North,North Central PS,Voyeurism,Sec 354C IPC,6,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2227,North East,North East Central PS,Voyeurism,Sec 354C IPC,14,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2228,North West,North West Central PS,Voyeurism,Sec 354C IPC,26,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2229,Shahdara,Shahdara Central PS,Voyeurism,Sec 354C IPC,7,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2230,South,South Central PS,Voyeurism,Sec 354C IPC,18,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2231,South East,South East Central PS,Voyeurism,Sec 354C IPC,14,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2232,South West,South West Central PS,Voyeurism,Sec 354C IPC,11,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2233,West,West Central PS,Voyeurism,Sec 354C IPC,16,5,2020,5,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2234,Central,Central Central PS,Rape,Sec 376 IPC,5,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2235,East,East Central PS,Rape,Sec 376 IPC,9,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2236,New Delhi,New Delhi Central PS,Rape,Sec 376 IPC,2,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2237,North,North Central PS,Rape,Sec 376 IPC,6,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2238,North East,North East Central PS,Rape,Sec 376 IPC,12,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2239,North West,North West Central PS,Rape,Sec 376 IPC,23,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2240,Shahdara,Shahdara Central PS,Rape,Sec 376 IPC,7,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2241,South,South Central PS,Rape,Sec 376 IPC,14,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2242,South East,South East Central PS,Rape,Sec 376 IPC,12,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2243,South West,South West Central PS,Rape,Sec 376 IPC,11,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2244,West,West Central PS,Rape,Sec 376 IPC,13,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2245,Central,Central Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,5,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2246,East,East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,10,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2247,New Delhi,New Delhi Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,2,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2248,North,North Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,7,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2249,North East,North East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,14,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2250,North West,North West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,22,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2251,Shahdara,Shahdara Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,10,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2252,South,South Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,19,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2253,South East,South East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,16,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2254,South West,South West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,13,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2255,West,West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,18,7,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2256,Central,Central Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,5,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2257,East,East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,10,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2258,New Delhi,New Delhi Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,2,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2259,North,North Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,5,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2260,North East,North East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,12,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2261,North West,North West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,22,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2262,Shahdara,Shahdara Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,7,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2263,South,South Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,16,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2264,South East,South East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,12,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2265,South West,South West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,12,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2266,West,West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,17,8,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2267,Central,Central Central PS,Stalking,Sec 354D IPC,2,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2268,East,East Central PS,Stalking,Sec 354D IPC,5,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2269,New Delhi,New Delhi Central PS,Stalking,Sec 354D IPC,1,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2270,North,North Central PS,Stalking,Sec 354D IPC,3,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2271,North East,North East Central PS,Stalking,Sec 354D IPC,5,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2272,North West,North West Central PS,Stalking,Sec 354D IPC,10,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2273,Shahdara,Shahdara Central PS,Stalking,Sec 354D IPC,4,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2274,South,South Central PS,Stalking,Sec 354D IPC,7,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2275,South East,South East Central PS,Stalking,Sec 354D IPC,6,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2276,South West,South West Central PS,Stalking,Sec 354D IPC,5,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2277,West,West Central PS,Stalking,Sec 354D IPC,8,6,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2278,Central,Central Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,8,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2279,East,East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2280,New Delhi,New Delhi Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,4,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2281,North,North Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,8,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2282,North East,North East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,18,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2283,North West,North West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,30,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2284,Shahdara,Shahdara Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,13,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2285,South,South Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,27,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2286,South East,South East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,21,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2287,South West,South West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2288,West,West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,23,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2289,Central,Central Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2290,East,East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2291,New Delhi,New Delhi Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2292,North,North Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2293,North East,North East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2294,North West,North West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2295,Shahdara,Shahdara Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2296,South,South Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2297,South East,South East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2298,South West,South West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2299,West,West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2300,Central,Central Central PS,Voyeurism,Sec 354C IPC,5,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2301,East,East Central PS,Voyeurism,Sec 354C IPC,10,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2302,New Delhi,New Delhi Central PS,Voyeurism,Sec 354C IPC,2,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2303,North,North Central PS,Voyeurism,Sec 354C IPC,5,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2304,North East,North East Central PS,Voyeurism,Sec 354C IPC,10,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2305,North West,North West Central PS,Voyeurism,Sec 354C IPC,23,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2306,Shahdara,Shahdara Central PS,Voyeurism,Sec 354C IPC,7,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2307,South,South Central PS,Voyeurism,Sec 354C IPC,17,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2308,South East,South East Central PS,Voyeurism,Sec 354C IPC,12,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2309,South West,South West Central PS,Voyeurism,Sec 354C IPC,9,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2310,West,West Central PS,Voyeurism,Sec 354C IPC,14,5,2020,6,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2311,Central,Central Central PS,Rape,Sec 376 IPC,4,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2312,East,East Central PS,Rape,Sec 376 IPC,8,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2313,New Delhi,New Delhi Central PS,Rape,Sec 376 IPC,2,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2314,North,North Central PS,Rape,Sec 376 IPC,6,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2315,North East,North East Central PS,Rape,Sec 376 IPC,10,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2316,North West,North West Central PS,Rape,Sec 376 IPC,17,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2317,Shahdara,Shahdara Central PS,Rape,Sec 376 IPC,7,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2318,South,South Central PS,Rape,Sec 376 IPC,13,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2319,South East,South East Central PS,Rape,Sec 376 IPC,13,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2320,South West,South West Central PS,Rape,Sec 376 IPC,9,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2321,West,West Central PS,Rape,Sec 376 IPC,14,9,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2322,Central,Central Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,5,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2323,East,East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,10,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2324,New Delhi,New Delhi Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,2,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2325,North,North Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,5,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2326,North East,North East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,14,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2327,North West,North West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,19,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2328,Shahdara,Shahdara Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,9,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2329,South,South Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,15,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2330,South East,South East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,13,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
2331,South West,South West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,11,7,2020,7,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
